Asset Tag,Model,Category,Manufacturer,Status,Serial,Purchase Date,Purchase Cost,Location,Assigned To,,
A0002,Latitude,Laptop,Dell,Deployed,DLL1111,03/01/2024,13000000,Jakarta ,Sarah,,
A0003,Galaxy S24,Phone,Samsung,Ready to Deployed ,SMS2233,25/01/2024,12000000,Jogja,,,
A0004,ThinkPad,Laptop,Lenovo,In Repair,LNO1223,03/02/2024,19000000,Jakarta ,Yaya,,
A0005,Galaxy S24 Ultra,Phone,Samsung,In Repair,SMS2112,22/03/2024,20000000,Jakarta ,Ayu ,,
A0006,Iphone 15,Phone,Apple ,Deployed,APP3323,17/04/2024,16000000,Jakarta ,Kina,,
A0007,Macbook Air M3,Laptop ,Apple ,Ready to Deployed ,APP1122,03/05/2024,24000000,Jakarta ,,,
A0008,Iphone 15,Phone,Apple ,Ready to Deployed ,APP3345,15/05/2024,16000000,Jakarta ,,,
A0009,K120,Keyboard,Logitech,Archived,LGT7566,31/05/2024,180000,Jakarta ,Salman,,
A0010,Macbook Pro 14 M4,Laptop,Apple ,Deployed,APP1213,20/05/2024,35000000,Jakarta ,Yuan,,
A0011,E24 G5,Monitor,HP,Ready to Deployed ,HPP5677,01/06/2024,2900000,Jakarta ,,,
A0012,E24 G5,Monitor,HP,Ready to Deployed ,HPP7655,10/06/2024,2900000,Jakarta ,,,
A0013,EliteBook 840 G11,Laptop,HP,Deployed,HHP2232,12/06/2024,21000000,Jakarta ,Jojo,,
A0014,Mac Mini M4,Desktop ,Apple ,Archived,APP5099,01/07/2024,14000000,Jakarta ,Rian,,
A0015,ThinkVision P27h-30,Monitor,Lenovo,Deployed,LNV2243,10/07/2024,6100000,Jakarta ,Dimas ,,
A0016,Veriton X,Desktop ,Asus,Ready to Deployed ,ASS1238,10/08/2024,11000000,Jogja,,,
A0017,K120,Keyboard,Logitech,Deployed,LGT78876,28/09/2024,180000,Jakarta ,Rina,,
A0018,Microsoft 365 Business Standard,Mics Software,Microsoft ,Deployed,MCF3477,19/10/2024,2250000,Jakarta ,Budi,,
A0019,Microsoft 365 Business Standard,Mics Software,Microsoft ,Deployed,MCF390,28/10/2024,2250000,Jakarta ,Juan,,
A0020,ThinkVision P27h-30,Monitor,Lenovo,Ready to Deployed ,LNV6678,10/11/2024,6100000,Jakarta ,,,
A0021,Galaxy S24 Ultra,Phone,Samsung,Deployed,SMS3455,19/11/2024,25000000,Jakarta ,Afi,,
A0022,MS116,Mouse,Dell,Ready to Deployed ,DLL3445,27/11/2024,120000,Jogja,,,
A0023,MX Key S,Keyboard,Logitech,In Repair,LGT4421,02/12/2024,1800000,Jakarta ,Nena,,
A0024,M185,Mouse,Logitech,Deployed,LGT8877,10/12/2024,150000,Jogja,Yoga,,
A0025,K120,Keyboard,Logitech,Archived,LGT78876,12/12/2024,180000,Jakarta ,Fajar,,
