Name,Seats,Category_id
Microsoft 365 Business Standard,100,1
Microsoft Teams,100,1
Zoom Workplace Business,50,1
Slack Pro,100,1
Jira Software,50,1
Confluence Standard ,50,1
GitHub Team,30,1
Figma Professional ,20,1
Canva Pro,20,1
Adobe Creative Cloud ,15,1
Adobe Acrobat Pro DC,30,1
Power BI Pro,25,1
Tableau Creator,10,1
Nation Plus,50,1
Dropbox Business Standard,30,1
Microsoft Defender for Business,100,1
GitLab Premium ,30,1
Visual Studio Professional,20,1
Postman Professional ,15,1
Google Workspace Business Standard,50,1
